"subject","activity","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tGravityAccMag-mean()","tGravityAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroMag-mean()","tBodyGyroMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-std()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-std()"
1,"walking",-0.517229189335789,-0.721184518334737,-0.6105946428,-0.768108755863158,-0.947932307578947,-0.612595427631579,-0.594688059968421,-0.766920128402105,-0.842590657368421,-0.598535936427368,-0.615026188357895,-0.552483188578947,-0.704940049848632,-0.765566931907263,-0.726156612754526,-0.414782958147368,-0.41018929228,-0.183122328313684,-0.517452040610526,-0.351807301782105,-0.370953409932632,-0.419877923,-0.43096790004,-0.408066761736842,-0.638023631652632,-0.523065363909474,-0.562769696778947,-0.386090638216842,-0.245060166756842,-0.325337770812632,-0.624411395933368,-0.282219909021053,-0.532313460810526,-0.355707307624211,-0.7919900286,-0.458889242315789,-0.681412478242105,-0.416267373897053,-0.562657563757895,-0.609532415684211,-0.967222692526316,-0.686017106095895,-0.451768464505263,-0.684531807673684,-0.455048862389474,-0.243881235078947,-0.354680041100421,-0.446784381232632,-0.4823032704,-0.401307304746316,-0.465568794068421,-0.634991487913684,-0.656225408947368,-0.337054236725263,-0.518648312403158,-0.585699457084211,-0.342936438136842,-0.483175949126316,-0.212414928445263,-0.0673989311273684,-0.467410510416842,-0.557657642091579,-0.397928113017895,-0.295068120570526,-0.239555148973684,-0.337261894790737
1,"walking_upstairs",-0.624369856603774,-0.671400510698113,-0.792924225849057,-0.998378120377359,-0.749587465056604,-0.307608544733962,-0.790282513377358,-0.631643767115094,-0.959202066603774,-0.557743811773585,-0.459099613188679,-0.51559763454717,-0.930031034716981,-0.657603240867925,-0.610159545924528,-0.520960211188679,-0.274189532716981,0.0258911725698113,-0.356228395339623,-0.241732972696226,-0.412192855245283,-0.140121256349057,-0.43793413554717,-0.547744785130189,-0.573822328301887,-0.390225200575472,-0.398795305792453,-0.518424568690566,-0.349516352169811,-0.35872413084717,-0.668430806882641,-0.0925107782056604,-0.802321528056604,-0.344528933150943,-0.743857248169811,-0.42963139190566,-0.355190209226415,-0.504102731339623,-0.650142395886792,-0.840782651245283,-0.767363212324528,-0.509463352990566,-0.727285531533962,-0.388512406509434,-0.450580653079245,-0.169696450345283,-0.518975496490566,-0.301684693981132,-0.169550469128302,-0.594803015707547,-0.501529773339623,-0.707280632,-0.480945639018868,-0.290490365245283,-0.679011572888679,-0.591244432245283,-0.572902205924528,-0.532646271886792,-0.122513802715094,-0.309870693943396,-0.474355922509434,-0.284470495471698,-0.499621570754717,-0.194079076511321,-0.24452402390566,-0.446958101679245
1,"walking_downstairs",-0.652431543979592,-0.654291064904082,-0.636405055857143,-0.912519771428571,-0.658184593306122,-0.392524035510204,-0.69902707055102,-0.828553672338776,-0.94025327244898,-0.612009201266531,-0.616729283061225,-0.63384705322449,-0.712027345591837,-0.706387641571429,-0.749410276836735,-0.438684794387755,-0.208922538659184,0.00712385595918368,-0.096161802077551,-0.41825106955102,-0.496383505386735,-0.466269512040816,-0.369703634326531,-0.666514736991837,-0.524437271510204,-0.665265763121633,-0.349904952044898,-0.559294282877551,-0.328947561612245,-0.389231075979592,-0.460258790277551,-0.161205048163265,-0.645075455663265,-0.300585368510204,-0.938907121673469,-0.525807160387755,-0.640870168367347,-0.313243173979592,-0.559554829755102,-0.83765797755102,-0.764927053420408,-0.782295990816327,-0.507265121463265,-0.631961866326531,-0.296957227265306,-0.193458173526531,-0.308087564653061,-0.0881764601959184,-0.51334801944898,-0.519941299918367,-0.628623250122449,-0.605324750734694,-0.377426976106122,-0.303951428122449,-0.476827871755102,-0.655641724987755,-0.452428744612245,-0.60502271577551,-0.238684385040816,-0.360582606702041,-0.589853529387755,-0.708903211428571,-0.351516393326531,-0.183320288070408,-0.315549251346939,-0.375844558346939
1,"sitting",-0.401347398489362,-0.634363951042553,-0.576806712697872,-0.819342080578723,-0.810656435255319,-0.851113940638298,-0.516069650187234,-0.676961280429787,-0.805100146297872,-0.552617775382979,-0.854872753829787,-0.634019393646808,-0.515576583723404,-0.691163026965957,-0.91378634787234,-0.380111201425532,-0.408554209787234,-0.419234567745957,-0.298745324729787,-0.56913613487234,-0.493388095106383,-0.37344810212766,-0.695132713185106,-0.462288148851064,-0.858758321425532,-0.62415688887234,-0.597577338217021,-0.594401896148936,-0.236390994638298,-0.21878058012766,-0.66394569406383,-0.45516875576383,-0.572206552659574,-0.265378168425532,-0.812774881297872,-0.781494916595745,-0.662057536234043,-0.856302596787234,-0.397950983893617,-0.450221558,-0.659896932553191,-0.916337165957447,-0.717798736787234,-0.68053328043617,-0.842637956765957,-0.197056316070213,-0.374956444057447,-0.503586199170213,-0.66359682373617,-0.611222973510638,-0.341751626819149,-0.52198782776383,-0.507407380600638,-0.517179699555319,-0.292640884425532,-0.453465667829787,-0.37761489606383,-0.245856485893617,-0.345631050787234,-0.0961521700042553,-0.313693632,-0.351501960576596,-0.32615620747234,-0.326494261674468,-0.18948986877234,-0.280106800617021
1,"standing",-0.445028478230769,-0.378378753711538,-0.531396780884615,-0.545943111375192,-0.820409757276923,-0.847190771538462,-0.561351258157692,-0.630943335365385,-0.651792571698077,-0.437186199326923,-0.975252866538462,-0.647484655738462,-0.635978516307692,-0.645174458769231,-0.774585734038462,-0.506866069346154,-0.422268861371154,-0.302175448038462,-0.279559615923077,-0.607903584288462,-0.520136110769231,-0.458278809365385,-0.707311459384615,-0.474611519846154,-0.993643745576923,-0.518330183173077,-0.608754763903846,-0.575046258521154,-0.266556525076923,-0.190092261296154,-0.709407903519231,-0.283955531845385,-0.225615370269231,-0.141480451817308,-0.8200847305,-0.409009303211538,-0.620309561807692,-0.563877328823077,-0.435391132007692,-0.618781978576923,-0.836265343173077,-0.71854860875,-0.902504358076923,-0.630148986884615,-0.492700473913462,-0.26694881675,-0.586956070211539,-0.317448551178846,-0.460915964198077,-0.566368512803846,-0.461499895440385,-0.401562091096154,-0.553817034903846,-0.767103448596154,-0.521666710076923,-0.433415920230769,-0.275252232057692,-0.435620328615385,-0.318691852826923,-0.00411521910576923,-0.386204771419231,-0.283339777365385,-0.512330668384615,-0.348369176711538,-0.265140125992308,-0.1228164606
1,"laying",-0.45955686112,-0.350353883,-0.65416440732,-0.780555793804,-0.718927469,-0.58114050568,-0.503749638046,-0.474440591628,-0.78773995772,-0.843629892,-0.74263969105,-0.70237454902,-0.59588122552,-0.48806599156,-0.9466313178,-0.51300127304,-0.36493517996,-0.136610026,-0.33415317752,-0.35187903268,-0.52792462458,-0.58790389978,-0.554481236554,-0.387442564846,-0.74853520076,-0.71948206786,-0.7036660207582,-0.56279729362,-0.161516204586,-0.282048488402,-0.54367009228,-0.423106050673,-0.43265453876,-0.332463450656,-0.88017945628,-0.7988909374,-0.46503029322,-0.516527224332,-0.671503421466,-0.5619008242,-0.84282943752,-0.941151871,-0.74608279912,-0.386873114525,-0.44367564574,-0.165334486278,-0.34833136944,-0.23680771624,-0.6455624764,-0.36682672262,-0.53284737432,-0.470328376836,-0.7041647896,-0.5694533369318,-0.356034374114,-0.552709736364,-0.37030965426,-0.35426654778,-0.09673092062,-0.0983520565,-0.27858051598,-0.4366695837,-0.55055079484,-0.274852901946,-0.177820377562,-0.130293186698
2,"walking",-0.564191624662712,-0.717385659244068,-0.796859116440678,-0.516501115122034,-0.451806355214068,-0.65576677859322,-0.525799077915254,-0.871506620677966,-0.768629406186441,-0.443381742104576,-0.257285377847458,-0.517085283254237,-0.336471434564407,-0.425288250508475,-0.377434453854237,-0.122234876932203,-0.406105428881356,-0.476869053576271,-0.605503758454237,-0.951287087118644,-0.544837172422034,-0.30338096411017,-0.580861690254237,-0.999251823050847,-0.229749223415085,-0.450542615440508,-0.445531535305085,-0.133202179166102,-0.233160686389831,-0.284701943525424,-0.50197246679661,-0.778970315237288,-0.864680205776271,-0.491580051118644,-0.1421088774,-0.178131520094915,-0.438672876072881,-0.896515521864407,-0.380129891576271,-0.438439431745763,-0.562929042169491,-0.368283499437288,-0.532914003879661,-0.774810868847458,-0.632532211508475,-0.335468158491525,-0.459958429176271,-0.373899034033898,-0.0393763937050847,-0.14225507699661,-0.553748118576271,-0.478816088033898,-0.927194204237288,-0.744981776983051,-0.401999465016949,-0.668219736440678,-0.863178958644068,-0.650345551305085,-0.619823549711864,-0.999579540338983,-0.763147703220339,-0.550155416,-0.648525271389831,-0.461098562994915,-0.461262718728814,-0.724005456813559
2,"walking_upstairs",-0.445949248854167,-0.89224090958125,-0.7861800901875,-0.312971303702083,-0.409653448645833,-0.826648637460417,-0.784108889583333,-0.817049542833333,-0.406596379275,-0.147378022229167,-0.394020270604167,-0.668025795104167,-0.413173341333333,-0.807650743333333,-0.542876200479167,-0.151730190833333,-0.478636307291667,-0.783992329166667,-0.67538522914375,-0.743970237708333,-0.550346152708333,-0.58602490426875,-0.616720230958333,-0.762117885625,-0.49494234025,-0.547967985541667,-0.28870635345,-0.209716572277083,-0.496340298858333,-0.415061496708333,-0.388204956025,-0.666539895354167,-0.462261884895833,-0.357852928558333,-0.0976865462083333,-0.497426811416667,-0.505760577375,-0.982707259375,-0.759590417525,-0.6563241705,-0.600160848333333,-0.426858194479167,-0.730075035708333,-0.994882560625,-0.64778992325,-0.444430001520833,-0.452620588520833,-0.297797729395833,-0.106943234375,-0.494415384658333,-0.61526301,-0.329616354,-0.950762334166667,-0.476626561414583,-0.1411576436875,-0.61999435968125,-0.982636914791667,-0.601472991416667,-0.753790917755417,-0.798536969854167,-0.621469828125,-0.148835886477083,-0.531412167020833,-0.5044911429,-0.6865511130625,-0.897523673625
2,"walking_downstairs",-0.522390029004255,-0.841703563085106,-0.795025768787234,-0.611695966114894,-0.427190472553191,-0.90674885106383,-0.469985587531915,-0.812662627978723,-0.758690572191489,-0.203096355638298,-0.292777967340426,-0.38686634306383,-0.511708434589362,-0.786140397234042,-0.415876570723404,-0.0478809351106383,-0.499528089617021,-0.91453147,-0.828422824106383,-0.989697830851064,-0.609626192659575,-0.4494020347,-0.727853030170213,-0.980903530638298,-0.382467378893617,-0.420575690957447,-0.153761804,-0.15675148712766,-0.44505509193617,-0.376245104489362,-0.511622733702128,-0.761381294276596,-0.633698202680851,-0.301062643882979,-0.101036749002128,-0.226020425587234,-0.395827313788298,-0.615906185553192,-0.460012574680851,-0.277398699787234,-0.327349690512766,-0.23161612912766,-0.676626303993617,-0.960423924468085,-0.462115894302128,-0.217316046655319,-0.314922634112766,-0.0681365726276596,-0.0854387591191489,-0.314344336702128,-0.553622006331915,-0.302937901297872,-0.752549065468085,-0.599499603678723,-0.361072293404255,-0.513132542510638,-0.690605188638298,-0.485061355031915,-0.717095362923404,-0.947445104404255,-0.281788838212766,-0.260684179242553,-0.511426087425532,-0.591373816,-0.38801306466383,-0.809777100851064
2,"sitting",-0.183672116782609,-0.613271301165217,-0.999870845,-0.643419535456522,-0.136235620782609,-0.650557520782609,-0.459928899719565,-0.722305995869565,-0.941854660869565,-0.606873711456522,-0.148215938471739,-0.192625499847826,-0.253681995217391,-0.523695847413043,-0.548506879913043,-0.166214182797826,-0.25202901073913,-0.596837014326087,-0.773245884586957,-0.873052594369565,-0.701456622891304,-0.388614846369565,-0.658941768695652,-0.95977349173913,-0.385419284826087,-0.414854570456522,-0.185146022717391,-0.131353701065217,-0.468908633678261,-0.474740254130435,-0.368813444630435,-0.999297943478261,-0.995783999130435,-0.631794327182609,-0.494405233643478,-0.11338506671087,-0.366167411202174,-0.672031627826087,-0.2902898345,-0.332611043671739,-0.695572761826087,-0.486175876043478,-0.452868254543478,-0.804211500282609,-0.796581749543478,-0.435925817734783,-0.362440638543478,-0.208170726913043,-0.138567666130435,-0.340619470717391,-0.413423398847826,-0.23246272778913,-0.649401386956522,-0.896586959782609,-0.706141688608696,-0.377027450478261,-0.652746973314783,-0.690760165217391,-0.575476090304348,-0.98173326826087,-0.39675714626087,-0.308423806347826,-0.66613456476087,-0.446889186191304,-0.454301905630435,-0.715659604043478
